v_products_model	v_products_image	v_products_name_2	v_products_description_2	v_products_url_2	v_products_name_1	v_products_description_1	v_products_url_1	v_specials_price	v_specials_date_avail	v_specials_expires_date	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
MINUNITSNOMIX	waybkgnd.gif	Min and Units NOMIX	This product is purchased based on minimums and units.  <br /><br />    The Min is set to 6 and the units is set to 3  <br /><br />    Quantity Minimums and Units are designed to more or less force the customer to make purchases of a Minimum Quantity ... and if need be, in Units.  <br /><br />    This product can only be purchased if you buy at least 6 ... and after that in units of 3 ... 9, 12, 15, 18, etc.  <br /><br />    If you do not purchase it in the right Quantity, you will not be able to checkout.  <br /><br />    When adding to the cart, the quantity box on the product_info page is "smart". It will adjust itself based on what is in the cart.  <br /><br />    The Add to Cart buttons are also smart on New Products and Product Listing ... these also will adjust what is added to the cart.  <br /><br />    For example: If there is 1 in the cart, the next use of Add to Cart will add 5 more to make the Minimum of 6. Add again and 3 more will be added to keep the Units correct.  <br /><br />    Product Quantity Min/Unit Mix is for when a product has attributes.  <br /><br />    If Mix is ON then a mix of attributes options may be used to make up the Quantity Minimum and Units. This means you can mix 1 blue, 3 silver and 2 green to get 6.  <br /><br />    If the Mix is OFF then you may not mix 2 blue, 2 silver and 2 green to get 6.  <br /><br />    This product has the Product Qty Min/Unit Mix set to OFF		Min and Units NOMIX	This product is purchased based on minimums and units.  <br /><br />    The Min is set to 6 and the units is set to 3  <br /><br />    Quantity Minimums and Units are designed to more or less force the customer to make purchases of a Minimum Quantity ... and if need be, in Units.  <br /><br />    This product can only be purchased if you buy at least 6 ... and after that in units of 3 ... 9, 12, 15, 18, etc.  <br /><br />    If you do not purchase it in the right Quantity, you will not be able to checkout.  <br /><br />    When adding to the cart, the quantity box on the product_info page is "smart". It will adjust itself based on what is in the cart.  <br /><br />    The Add to Cart buttons are also smart on New Products and Product Listing ... these also will adjust what is added to the cart.  <br /><br />    For example: If there is 1 in the cart, the next use of Add to Cart will add 5 more to make the Minimum of 6. Add again and 3 more will be added to keep the Units correct.  <br /><br />    Product Quantity Min/Unit Mix is for when a product has attributes.  <br /><br />    If Mix is ON then a mix of attributes options may be used to make up the Quantity Minimum and Units. This means you can mix 1 blue, 3 silver and 2 green to get 6.  <br /><br />    If the Mix is OFF then you may not mix 2 blue, 2 silver and 2 green to get 6.  <br /><br />    This product has the Product Qty Min/Unit Mix set to OFF					25	1	0000-00-00 00:00:00	2003-12-29 23:19:13	991		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - by attributes	The Product Price is set to 0.00  <br /><br />    The Product Priced by Attributes is set to YES  <br /><br />    The attribute prices are defined without the price prefix of +  <br /><br />    The Display Price is made up of the lowest attribute price from each Option Name group.  <br /><br />    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br /><br />    The price prefix of the + is not used as we are not "adding" to the display price.  <br /><br />	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	Hewlett Packard - by attributes	The Product Price is set to 0.00  <br /><br />    The Product Priced by Attributes is set to YES  <br /><br />    The attribute prices are defined without the price prefix of +  <br /><br />    The Display Price is made up of the lowest attribute price from each Option Name group.  <br /><br />    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br /><br />    The price prefix of the + is not used as we are not "adding" to the display price.  <br /><br />	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	300.0000	0001-01-01	0001-01-01	0	45	0000-00-00 00:00:00	2003-12-31 14:36:57	700	Hewlett Packard	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-90off-10	test_demo.jpg	TEST $120 Sale 10% Special off	Product is Priced by Attributes.  <br /><br />    Attribute Option Group: Color and Size are used for pricing by marking these as Included in Base Price.  <br /><br />    Gift Options has everything marked included in base price also, but because None is set to $0.00 that groups lowest price is $0.00 so it is not affecting the Base Price.  <br /><br />    If None was not part of this group and you did not want to include those prices, you would mark all of the Gift Option Attributes to NOT be included in the Base Price.  <br /><br />    Product Product is $0.00  <br /><br />    Special does not exist  <br /><br />  Sale Price is 10%  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Sale 10% Special off	Product is Priced by Attributes.  <br /><br />    Attribute Option Group: Color and Size are used for pricing by marking these as Included in Base Price.  <br /><br />    Gift Options has everything marked included in base price also, but because None is set to $0.00 that groups lowest price is $0.00 so it is not affecting the Base Price.  <br /><br />    If None was not part of this group and you did not want to include those prices, you would mark all of the Gift Option Attributes to NOT be included in the Base Price.  <br /><br />    Product Product is $0.00  <br /><br />    Special does not exist  <br /><br />  Sale Price is 10%  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />					0	1	0000-00-00 00:00:00	2004-01-08 14:11:32	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
HIDEQTYBOX	1_small.jpg	Hide Quantity Box Methods	This product does not show the Quantity Box when Adding to the Shopping Cart.  <br /><br />    While Quantity Box Shows is set to YES, the Product Qty Max has been set to 1    This will add only 1 to the Shopping Cart when Add to Cart is hit.  <br /><br />    The reason for this is that this is a download. As a download, there is never a reason to allow more than quantity 1 to be ordered.  <br /><br />    NOTE: If using Quantity Box Shows set to NO, unless Qty Max is also set to 1 then each time the Add to Cart is clicked the current cart quantity is updated by 1. If Qty Max is set to 1 then no more than 1 will be able to be added to the Shopping Cart per order.  <br /><br />    Two methods are available to trigger the Hide Quantity Box.  <br /><br />    Method 1: Set Quantity Box Shows to NO  <br /><br />    Method 2: Set Qty Maximum to 1  <br /><br />    In either case, you will only be able to add qty 1 to the shopping cart and the quantity box will not show.  <br /><br />		Hide Quantity Box Methods	This product does not show the Quantity Box when Adding to the Shopping Cart.  <br /><br />    While Quantity Box Shows is set to YES, the Product Qty Max has been set to 1    This will add only 1 to the Shopping Cart when Add to Cart is hit.  <br /><br />    The reason for this is that this is a download. As a download, there is never a reason to allow more than quantity 1 to be ordered.  <br /><br />    NOTE: If using Quantity Box Shows set to NO, unless Qty Max is also set to 1 then each time the Add to Cart is clicked the current cart quantity is updated by 1. If Qty Max is set to 1 then no more than 1 will be able to be added to the Shopping Cart per order.  <br /><br />    Two methods are available to trigger the Hide Quantity Box.  <br /><br />    Method 1: Set Quantity Box Shows to NO  <br /><br />    Method 2: Set Qty Maximum to 1  <br /><br />    In either case, you will only be able to add qty 1 to the shopping cart and the quantity box will not show.  <br /><br />					75	1	0000-00-00 00:00:00	2004-01-21 22:01:20	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test25-AttrAll	test_demo.jpg	TEST 25% Special Attribute Priced	Priced by Attributes - Product price is set to $0.00  <br /><br />  All attributes are marked to make the price.    <br /><br />  Product is $0  <br /><br />  Special is 25%  <br /><br />		TEST 25% Special Attribute Priced	Priced by Attributes - Product price is set to $0.00  <br /><br />  All attributes are marked to make the price.    <br /><br />  Product is $0  <br /><br />  Special is 25%  <br /><br />					0	1	0000-00-00 00:00:00	2004-01-04 01:28:52	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - by attributes with Special% no SALE	The Product Price is set to 0.00 Special is set to 20%  <br /><br />    The Product Priced by Attributes is set to YES  <br /><br />    The attribute prices are defined without the price prefix of +  <br /><br />    The Display Price is made up of the lowest attribute price from each Option Name group.  <br /><br />    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br /><br />    The price prefix of the + is not used as we are not "adding" to the display price.  <br /><br />    The Colors attributes are, their prices before the Special discount is applied:<br />  White $499.99<br />  Black $519.00<br />  Blue $539.00  <br /><br />    The Specials Price is a flat $100 discount. This $100 discount is applied to all attributes marked attributes_discounted Yes.	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	Hewlett Packard - by attributes with Special% no SALE	The Product Price is set to 0.00 Special is set to 20%  <br /><br />    The Product Priced by Attributes is set to YES  <br /><br />    The attribute prices are defined without the price prefix of +  <br /><br />    The Display Price is made up of the lowest attribute price from each Option Name group.  <br /><br />    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br /><br />    The price prefix of the + is not used as we are not "adding" to the display price.  <br /><br />    The Colors attributes are, their prices before the Special discount is applied:<br />  White $499.99<br />  Black $519.00<br />  Blue $539.00  <br /><br />    The Specials Price is a flat $100 discount. This $100 discount is applied to all attributes marked attributes_discounted Yes.	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	399.2000	0001-01-01	0001-01-01	0	45	0000-00-00 00:00:00	2004-01-02 15:34:49	700	Hewlett Packard	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test25	test_demo.jpg	TEST 25% Special	Product is $100.00  <br /><br />  Special is 25%  <br /><br />		TEST 25% Special	Product is $100.00  <br /><br />  Special is 25%  <br /><br />					100	1	0000-00-00 00:00:00	2004-01-04 01:31:06	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120	test_demo.jpg	TEST $120	Product is $120  <br /><br />    There is no special and no sale on this product.  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75<br />  - Green $40  <br /><br />    Size:<br />  Select from Below:<br />  X-Small $40.00<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - None<br />   - Embossed Collector's Tin $40.00<br />  - Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Features: <br />  Quality Design<br />  Custom Handling<br />  Same Day Shipping<br />  <br /><br />    NOTE: Select from below ... is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />    The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />    The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />    NOTE: None is similar to Display Only, but this can be used when for when no option value is required.  <br /><br />    Its value is set the value to $0.00 and it is NOT marked Display Only.   <br /><br />    Because its value is $0.00 if included in the Attributes Based Price on products Priced by Attributes, this Options group would not have any value included in the calculated price.  <br /><br />    NOTE: The Option Name: Featured is a READ ONLY Option Type  <br /><br />  This can be for repeatative information or anything that occures on many products but functions like an attribute in setting up the information. It does not get added to the Shopping Cart nor display on the Order. They should be marked exclude from Attribute Based Price.  <br /><br />		TEST $120	Product is $120  <br /><br />    There is no special and no sale on this product.  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75<br />  - Green $40  <br /><br />    Size:<br />  Select from Below:<br />  X-Small $40.00<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - None<br />   - Embossed Collector's Tin $40.00<br />  - Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Features: <br />  Quality Design<br />  Custom Handling<br />  Same Day Shipping<br />  <br /><br />    NOTE: Select from below ... is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />    The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />    The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />    NOTE: None is similar to Display Only, but this can be used when for when no option value is required.  <br /><br />    Its value is set the value to $0.00 and it is NOT marked Display Only.   <br /><br />    Because its value is $0.00 if included in the Attributes Based Price on products Priced by Attributes, this Options group would not have any value included in the calculated price.  <br /><br />    NOTE: The Option Name: Featured is a READ ONLY Option Type  <br /><br />  This can be for repeatative information or anything that occures on many products but functions like an attribute in setting up the information. It does not get added to the Shopping Cart nor display on the Order. They should be marked exclude from Attribute Based Price.  <br /><br />					120	1	0000-00-00 00:00:00	2004-01-04 15:05:10	999		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-5	test_demo.jpg	TEST $120 Sale -$5.00	Product is $120  <br /><br />  Sale is -$5.00  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Sale -$5.00	Product is $120  <br /><br />  Sale is -$5.00  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />					120	1	0000-00-00 00:00:00	2004-01-04 14:50:38	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-90-5	test_demo.jpg	TEST $120 Special $90.00 Sale -$5.00	Product is $120  <br /><br />    Special $90.00 or 25%  <br /><br />    Sale is -$5.00  <br /><br />      Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Special $90.00 Sale -$5.00	Product is $120  <br /><br />    Special $90.00 or 25%  <br /><br />    Sale is -$5.00  <br /><br />      Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		90.0000	0001-01-01	0001-01-01	120	1	0000-00-00 00:00:00	2004-01-04 15:01:53	998		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test90	test_demo.jpg	TEST $120 Special $90	Product is $120  <br /><br />    There is a $90.00 or 25% Special and no sale on this product.  <br /><br />      Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Special $90	Product is $120  <br /><br />    There is a $90.00 or 25% Special and no sale on this product.  <br /><br />      Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		90.0000	0001-01-01	0001-01-01	120	1	0000-00-00 00:00:00	2004-01-04 15:19:00	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-90-10-Skip	test_demo.jpg	TEST $120 Sale 10% Special off Skip	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is 10% - Skip Products with Specials  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Sale 10% Special off Skip	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is 10% - Skip Products with Specials  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		90.0000	0001-01-01	0001-01-01	120	1	0000-00-00 00:00:00	2004-01-05 00:41:40	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-90-10-Skip	test_demo.jpg	TEST $120 Sale 10% Special off Skip	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is 10% - Skip Products with Specials  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Sale 10% Special off Skip	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is 10% - Skip Products with Specials  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />					120	1	0000-00-00 00:00:00	2004-01-05 00:41:40	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-25-New100-Skip	test_demo.jpg	TEST $120 Special 25% Sale New Price $100 Skip Specials	Product is $120  <br /><br />  Special 25% or $90  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Special 25% Sale New Price $100 Skip Specials	Product is $120  <br /><br />  Special 25% or $90  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		90.0000	0001-01-01	0001-01-01	120	1	0000-00-00 00:00:00	2004-01-07 02:35:44	998		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-New100	test_demo.jpg	TEST $120 Special off Sale New Price $100	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Special off Sale New Price $100	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />					120	1	0000-00-00 00:00:00	2004-01-06 00:02:32	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
